InputID,TargetID,Distance
AN BURN F02 ,BO BURN O01 ,59187.4822719755
AN BURN F02 ,BO BURN O02 ,59023.1112909255
AN BURN F02 ,BO BURN O03 ,58871.9043658977
AN BURN F02 ,BO BURN S01 ,58411.172856929
AN BURN F02 ,BO BURN S02 ,58615.978327484
AN BURN F02 ,BO BURN S03 ,58746.5211216038
AN BURN F02 ,BO UNBURN G01 ,57702.9085883166
AN BURN F02 ,BO UNBURN G02 ,57689.3165703956
AN BURN F02 ,BO UNBURN O01 ,57631.3033163796
AN BURN F02 ,BO UNBURN O02 ,58298.2470109246
AN BURN F02 ,BO UNBURN S01 ,57008.9519308656
AN BURN F02 ,BO UNBURN S02 ,57010.1233325002
AN BURN F02 ,BO UNBURN S03 ,57128.0753181577
AN BURN F02 ,HT BURN C01 ,108188.484693727
AN BURN F02 ,HT BURN C02,108056.400401966
AN BURN F02 ,HT BURN C03 ,108130.757918832
AN BURN F02 ,HT BURN G01 ,107996.049246336
AN BURN F02 ,HT BURN G02 ,108045.155571656
AN BURN F02 ,HT BURN G04 ,108238.053070311
AN BURN F02 ,HT BURN O01 ,107854.467902494
AN BURN F02 ,HT BURN O02 ,107607.920964236
AN BURN F02 ,HT BURN O03 ,107854.374630528
AN BURN F02 ,HT UNBURN C01 ,108693.155734485
AN BURN F02 ,HT UNBURN C02,108569.749349491
AN BURN F02 ,HT UNBURN G01 ,108952.166277834
AN BURN F02 ,HT UNBURN G02 ,109083.186366761
AN BURN F02 ,HT UNBURN O01 ,108635.056442255
AN BURN F02 ,HT UNBURN O02,108468.928891899
AN BURN F02 ,ML BURN G01 ,190860.073607003
AN BURN F02 ,ML BURN G02 ,190827.032766365
AN BURN F02 ,ML BURN O01 ,190763.552592882
AN BURN F02 ,ML BURN O02 ,190542.807786614
AN BURN F02 ,ML BURN O04 ,188015.780158446
AN BURN F02 ,ML BURN S01 ,190120.302184264
AN BURN F02 ,ML BURN S02 ,190068.154507692
AN BURN F02 ,ML UNBURN G04 ,191590.444332044
AN BURN F02 ,ML UNBURN G05 ,191668.876164415
AN BURN F02 ,ML UNBURN O04 ,191712.89729598
AN BURN F02 ,ML UNBURN O05 ,191655.153415024
AN BURN F02 ,ML UNBURN S01 ,190037.206001732
AN BURN F02 ,ML UNBURN S02 ,190014.794083668
AN BURN F02 ,QR BURN C01,148313.678300062
